id;code;valeur;date_debut;date_fin
e16af3d5-028a-45a8-944d-9e8109bcec1f;paf comme;19629.75;2026-09-21;2026-09-21
d3f6d1c5-a80c-47cf-a6c4-68f4b103b513;gestionnaire ficher hirsute;30135.92;2026-09-21;2026-09-22
e69526e8-e3e2-4797-9606-16c6a6fc88d7;échapper;21895.91;2026-09-21;2026-09-21
01c71ac6-b0ad-4f70-bd8c-ec25e2b43d70;brusque blême au point que;980.64;2026-09-21;2026-09-21
8715c8d1-8f05-4f1d-8700-bd47761dbbf9;jeune enfant membre à vie;14987;2026-09-21;2026-09-21
119eb972-ee0b-44fc-9ed0-797cb0afa757;apparemment;22599.74;2026-09-21;2026-09-21
43051043-caf2-4c25-9475-3796c369af1f;équipe de recherche secours avant de;18916.57;2026-09-22;2026-09-22
b755c366-5515-4bd4-81b0-e7a83f952546;masquer endormir;6562.35;2026-09-21;2026-09-21
bb1714b5-3860-4f41-acca-ea5677841ade;en si;2223.34;2026-09-21;2026-09-21
b53f60e9-5dcd-471e-92c6-f37e79b65663;euh après sale;6367.32;2026-09-21;2026-09-22
b569ce34-2886-4417-b559-85ebb80428a4;réduire;16094.21;2026-09-21;2026-09-22
7fe8f7cb-c0f6-47c7-9833-8603e282a732;équipe au lieu de;791.61;2026-09-21;2026-09-21
e05bd46c-ffcb-4ae2-843f-59f61bb4d547;pendant que chef;7604.57;2026-09-21;2026-09-21
56e4f640-e060-46b6-90cb-3e652c7af17b;vu que drelin;3071.52;2026-09-21;2026-09-21
a88f6172-d137-43d5-b3e4-655157475fb0;smack entre;15870.86;2026-09-21;2026-09-22
e848d91f-cdd4-4ada-b24d-6d35a7e8fe38;dès que;20210.55;2026-09-21;2026-09-22
8730e967-3912-4145-b4e5-61a88198b17b;jusque même si;18960.44;2026-09-21;2026-09-21
892bc8e3-c7ae-45e5-9bfd-a7b1606ef6c8;sans que bien;23866.11;2026-09-21;2026-09-21
b03bbc9a-ef1c-4d0c-8650-e0fbe6495283;marron;32706.65;2026-09-21;2026-09-21
9d2038d5-a109-42da-bad4-0d8f987624b9;depuis adversaire;3309.11;2026-09-21;2026-09-21
7071ab47-5e01-4986-8f46-06a855f324e8;pff triathlète joliment;11056.44;2026-09-22;2026-09-22
7d8bfa38-9bfe-4b6c-81fa-7af628a5d49b;loufoque guide areu areu;5633.53;2026-09-21;2026-09-21
65230fb7-b7ce-42b1-a285-b600a389c17f;ouah tracer situer;901;2026-09-21;2026-09-21
058bc825-1762-42f5-9f8a-df1b7dfeb8d1;tout;24535.18;2026-09-22;2026-09-21
a4087e38-91dc-4eb0-9b22-e72d989e7ca6;rectangulaire super;11801.64;2026-09-22;2026-09-21
046004aa-13ac-458a-b628-5acc1a10e3d2;avant que;23000.59;2026-09-21;2026-09-22
993cb498-0358-4d62-b35c-28f7ffa8b271;personnel professionnel ouille;11586.61;2026-09-21;2026-09-22
77014d3d-c1d8-4161-9080-350c9de41b2f;via coin-coin;14461.89;2026-09-22;2026-09-22
17360b22-ad71-4040-b594-ee0630e1784a;même si contenter;1173.66;2026-09-22;2026-09-21
89194125-91bc-48c7-a515-f8f88a63820a;géométrique;7476.66;2026-09-21;2026-09-22
