id;code;libelle
f693a2bd-e557-4b5a-a26b-023e55a546c2;mairie vétuste;ailleurs
7d0b5008-23ca-465f-888a-b51b4ad5accc;arriver;nier
b4d60d43-5f8c-4ef4-b46a-9ad36538058d;simple rectorat ha ha;extrêmement
3c861bc1-54fe-4883-ab21-650096910a7e;camarade;ici habiter
ca792a63-a76b-40e6-a604-30321d7f22dc;équipe de recherche dans la mesure où bof;lectorat beaucoup hors
5e996329-783f-43d1-b8a0-0c165a956999;quoique sauf;entièrement collègue hé
77207462-486d-43b6-8514-f626915e09e0;fonctionnaire athlète;avancer
7de12017-d11a-4bfb-9538-a875cccd5098;de peur que étrangler;démarrer bè chez
671dc0a9-9528-43c3-82a2-fa98d2b2120c;jusque;commis opposer gens
28526cd5-2ad7-4228-b8e3-2d403d5fbb62;hé croâ;approcher ci
8721c22a-0fe6-4aba-92bb-8f230d987f7b;enfin;touchant
8e545e16-7b7f-4c4a-9646-d93bb88b5731;ci par par rapport à;au cas où carrément d’autant que
2a41f7f7-4b51-42f8-84e3-547b16e61a02;au prix de;oh outre agir
15872064-7ef5-485c-9391-5ade02d42e7e;tellement de manière à tandis que;antagoniste lorsque
88c648cf-0565-419f-ae62-ae8b30c288b9;adepte;sombre solitaire
c4e9a72e-8ca3-4928-a6c9-7eb22711136a;réserver saigner;en plus de clientèle énergique
96566a16-de03-48c2-a457-d50381da416c;bientôt du moment que actionnaire;secours
411f0460-778f-4ae4-bb13-c4dae22f782c;selon;déclarer
d88cba5d-034b-4e21-a46b-fde55214fc45;cyan meubler;puisque perplexe du fait que
1190c803-a4b4-42f1-9201-5e64c19b1c3d;triste;avant par porte-parole
8ca7a4d1-6dee-4436-82d5-f85cca0ef86b;clientèle toc;cot cot sale
0241e27a-5675-44fc-8d20-9d797896c583;pauvre croâ foule;pschitt respecter
5663016f-f253-4773-98e5-579a70503dae;vraiment assez entre-temps;quasi jusqu’à ce que super
863ac395-40d6-464b-9ae8-dba000bb7406;broum concurrence;vu que
b1363ccd-6c0b-4f4d-aa3a-b93a82bd1d3e;afin que;repasser ouch
ff2ee911-4da3-4852-b201-abe3ca33c7ff;bientôt ci dans la mesure où;comparer
d310541d-623d-4872-88fc-c357dee78c3a;mature;électorat lors de
090fc446-7ac6-4e97-8e65-01781ce379b8;alentour;dense débarquer aux environs de
27781f5d-b75a-414e-8e3a-44fc6665b4b1;électorat gens;au-delà
6854478c-e7e3-4b0b-bbc0-36d0daced75f;en guise de en outre de;bien
