id;code;libelle
efe8343b-bbd0-47da-a7ab-27fe8fe93eff;malade à peine;aïe
797ee22d-19bb-49ab-898b-8a10578bc9d2;par;d’autant que sans que derechef
7b3bc3d9-5ffd-486e-b7fa-1b1acdecd678;assez;désagréable
0857dd0c-3b3d-410e-8743-d591d7a035c9;d’autant que conquérir;derechef lorsque refermer
4c237cbe-1fb0-4356-8b93-04f91bf2705d;consulter au moyen de;autrement rose
037369a9-87af-4d2f-babb-57d31f0a9f97;actionnaire trop cocorico;environ ensemble à la merci
42026383-e86f-4095-a4a7-247242ac64ee;tant que;mal gigantesque
902ce1db-b91b-4ec8-99da-a74c709d65be;conseil municipal;personnel brusque chef
8253fa15-a2d5-4114-ba89-a2857bbf4636;concernant envers de crainte que;trop
e57aceb7-4d1f-411a-a9ee-21ba84a34a0b;outre rectorat dans la mesure où;en vérité lectorat
656f69e5-3066-4e53-9194-389f8f2f48e5;fade pin-pon;d'avec areu areu
91d765bd-a969-436a-a297-2d5dfe7fa57b;commis de cuisine cot cot en outre de;innombrable
595dc3c6-4759-4c92-8399-d2c91d1a1184;snif à condition que au-delà;insipide communauté étudiante
5add51c2-2dab-4ac6-99cd-2858a9b096d7;approximativement incarner;personnel professionnel membre du personnel jeune
e3206c1f-5190-4494-b825-920a66ad71a1;au-dedans de splendide aïe;fonctionnaire administration fabriquer
075136d4-bb74-4cff-b9a4-f0ba8c3a8d4d;biathlète quoique antagoniste;hier
ac83ed76-08c2-41ca-9a01-eaa02184bae8;dans la mesure où en faveur de lâche;serviable pendant que
9b4b31ac-39d0-48db-9152-e2bb2ef8216c;avant que hors;de
4a47974f-57e5-4545-bb20-b4fa530aed81;en plus de sauf deçà;si sage tout à fait
cf066469-4913-4041-804e-213b0e5f4a96;de façon à ce que via;pour autour de
a0264777-0890-4efa-8cc2-6765babc8214;devant;snob pour
1cc6d53f-da47-4b49-9440-f2166bc9baa8;impressionner de façon à ce que;ouin
e431be13-d19c-4d85-a5b6-e3838063dea4;hors;désirer crac
5c33c44f-eb8a-4470-a292-e1d7ee24f248;touriste;population du Québec ouf comme
37fe0c38-b705-4d66-b740-64771da1317e;mélancolique si bien que;dessus comme
8ca2626c-795b-4c1a-862f-2356c1c657f9;deçà;en face de foule téméraire
c43a1498-4448-46ae-a6aa-8caf51c2580a;de façon à ce que broum;de sorte que sous couleur de infiniment
7468448c-68a2-4d3b-9091-d249db2e458b;débarquer secouriste là-haut;à l'instar de gémir loufoque
727b9781-d03b-43a3-af19-046c02b9a2f6;toutefois blablabla;fonctionnaire
d2347085-92c8-4de0-8d1e-8272053e4d61;lunatique;infime aussitôt que en decà de
