id;code;libelle;description;type_service_id
69b414ae-ab61-4c82-8b4f-429bd6af8eeb;franchir;insolite bè;dévorer ça à raison de;1e959adf-3910-4aef-8770-125449c7af29
d6e1ac50-383e-4dbc-8bf7-54471cda26a1;cot cot pisser sous couleur de;pas mal;dans la mesure où gigantesque;dc4f7be7-78ee-425e-a7e0-390eee7780c8
ffc731ea-7473-4e85-bcf3-877da8af0d87;de sorte que;antagoniste quitte à avare;chef de cuisine dans la mesure où hypocrite;2ff2bd07-af97-4c48-91a3-2cba7b277f6d
0edc86ca-a16e-4ac1-89ed-b3e7d5a8a4b5;snif franchir vu que;meuh encore;vraisemblablement;eee017b1-f5ef-45b1-8b36-c9407116e505
fcc9d216-7629-48b2-89e8-f1ef8b177cf0;intervenir;ouille;spécialiste miaou;7241c731-5545-4bd2-a63e-e161017766f5
6f87f340-8fc1-43ba-af6c-a0b01ebe7e82;jusque;devoir avant que vis-à-vie de;de sorte que;32d10bcc-979e-42fa-93d4-3d0574b85ae3
48488c6f-2f7c-4ce0-8a39-4a1f53b04fb4;lectorat disputer;croâ résigner étant donné que;protester géométrique;a01593b0-7fa7-4bf8-97b4-6b59cc14cfbf
a935bc6e-1223-421a-9307-d14fb4f06e9c;cocorico dessous comme;ferme;conquérir population du Québec;41f4cd1c-2a98-46b9-9cf3-668fde69a60c
4e67f872-053c-4183-9bc5-6a29000ca159;sous couleur de;rectorat;absorber secouriste en dehors de;15ed3cf7-1bdf-487f-9929-82282ba18168
10a4b7b8-bbbd-4518-be85-6badb356f4c6;du moment que aussitôt que membre à vie;rafraîchir à la faveur de;malade cependant;e657c42e-14c6-4c66-b4b9-65ee93c4855a
5ff184bc-1a58-4db4-98c9-9b9da9f98040;au-dedans de toujours réciter;bien que;quasiment;e7148109-46ad-4d7b-b02f-6e3ac6ed607c
61b4ed90-ce16-4ae6-bfe0-c8a1d538b2fc;voter d’autant que;vouh efficace si bien que;émérite;964de2c7-ea4b-4a4f-a6b5-fd964ff1202c
04c1aae6-0d73-4897-ac47-868aa0fca263;bof;responsable incalculable dring;concurrence admirablement rejeter;0c31fdd0-0364-4ae5-9e33-13ba7aa83688
34f95ed9-a3f0-4db4-8d0f-9614ab5f1794;prolonger;jusqu’à ce que cot cot;aujourd'hui hi;24065d04-01c1-4a21-85ed-9da91c79f1f5
26506060-abd6-43c2-88eb-50e1fbc4ff8a;touriste d’autant que;si bien que communauté étudiante bang;équipe après que;5a38ea1a-f214-4cc2-b590-f46e3b5a11cf
ac1103e6-e518-4599-be0f-a9528e221838;lectorat;lorsque;spécialiste expédier;ad439368-e455-4ddb-a936-e94272cc0cdd
903fd36c-37ed-4514-b12d-3e454a87f384;administration maintenant;tant aux alentours de;extrêmement dedans communauté étudiante;26623217-f98f-4ac1-acae-4ab1da41e26e
1c343000-cc3d-4c61-af65-ac8e36758da7;aborder si au lieu de;si bien que pin-pon;turquoise de peur que jusqu’à ce que;14b2e199-a4e7-4fd5-b71d-2181de6e33b5
3dd85a69-726c-488b-a320-c3550efec798;si moderne;à bas de guide grâce à;réfléchir près;cf451e7f-c6c3-4fe3-9c31-68123b4eb718
9486d915-357a-4ccb-978d-97404a548768;contre;calme moyennant maintenant;blême;6ee3ecc6-8c30-46d5-8449-a188bb9adc25
92f7e527-9c20-48bd-bbd9-28c345acdfa0;amorphe chut atchoum;clac;travailler avex en vérité;56e7f184-ef80-4d1d-8e84-729bc67c5483
f51925b5-996b-4248-84de-ad1147e8d20f;retarder lier dense;jusqu’à ce que dessous;police téméraire fonctionnaire;867ab10f-75a9-46a8-ab73-c10afe3c1a76
f098ff35-e582-47f2-aa5c-c1b933177266;dès que oups;dans la mesure où;du fait que svelte abriter;367b3e91-139c-42ed-a74d-630ead2a21d9
80c8d1f4-734b-4340-8e0e-e23ed8a4dbea;afin de à raison de;commis de cuisine;calme atchoum supprimer;33806970-6d01-4428-8a71-251b359c9336
b2d353f9-cd9c-4636-9737-d40be4cb774c;du fait que en dedans de à l'entour de;en bas de lâche;tellement;7bd0fb2f-02b9-40b7-a969-c7a5759ec7f7
c455b998-e54f-4c44-b2b9-33ca4b467aa6;dorénavant par rapport à en outre de;suivant diplomate complètement;certes pschitt;20418b25-9166-47f8-b9f1-87c1afd7aa95
6ea3b33b-648c-4eb4-b9bd-f10b31de9027;explorer hi;cuicui drelin;orange;938a3857-53fe-48a0-ae2a-a8202da19ef5
8d566293-f3a1-40c1-a3c5-7542c4f083ec;insuffisamment hâter dès que;manier;près de parce que mairie;18cd51fe-25fd-464a-aae8-63c028c589a1
115f5b61-ff6f-4590-af39-ce22d8ba4540;volontiers en dehors de;quand ? aigre parce que;ha ha;9c371347-7a47-4985-8986-2c20098f6e82
ec41a651-ec34-42de-9a1a-c24a731cbe16;ha administration meuh;payer pas mal;ronron;6a15f416-03ee-4ef4-99a3-4a2d6c63fe3b
