id;code;libelle
95d54f68-f5e3-4c04-9dbb-41f5fc44ed7c;bof trop;insuffisamment main-d’œuvre
3849d12a-bd3a-4fd6-92ee-98aaa5b8b4e6;naître personnel bè;puis couvrir disposer
e37364ab-2d96-45c3-a870-924d03bfbf8f;joliment à partir de smack;à demi avare trop
fc07c218-f025-4004-a782-278c5dc05c99;sans que plouf;auprès de repartir déposer
207e2565-2c45-44b6-bf1d-4d51b69fb2ed;de peur que;malgré
6f67648e-3be7-4571-a952-77b3660dd558;plouf responsable;assez alors que à force de
9fc376ea-d82b-42d9-ae46-3709c12b5fb5;hi;maigre
474cc683-930b-4306-b51c-18c2ebf2f4b2;parlementaire lectorat devant;spécialiste partenaire
3c4b4d54-94e2-4519-85a3-a0ec991618ec;souvent désagréable corps enseignant;prestataire de services prestataire de services décourager
e5808b06-c720-4248-b27c-69d69342feb3;lunatique collègue a;depuis à condition que
6ca2bf2d-83e2-4fb0-9133-75afbf1fec5c;certainement foule lors de;filer derrière communauté étudiante
528f98d8-7ebf-4cbd-8b41-d5f29cca0db4;sur;circuler tchou tchouu
3256c932-148e-4609-89f4-80539adb9d62;carrément;partenaire
0bf26c1f-abad-4304-85c1-24cb164195e9;contre autrefois chut;depuis
8e769a2b-2afd-457e-b8dd-859bdcd3f77c;gestionnaire fort;considérable chef
594f83df-0ec8-4e49-b5f3-0e4dceeedbb0;sans que;badaboum encourager
ddf30d4d-5612-4e2b-bf64-2a62183f133c;prout tant que;oh proche de
583c4a78-de5e-40c6-bb8a-77550a2d30eb;tellement;remercier séculaire à côté de
930bd798-ceb2-41e7-8013-6c83f3eb0de9;au dépens de par suite de;de façon à ce que délégation oser
1b5ac6c3-458f-4678-8fc2-967b3bd7da20;détester aussitôt que;passer si bien que de peur de
3a1c6568-703c-427c-af76-20094d50ed8c;en dans céans;suivant
03754159-ff6d-4c0b-ac71-1f3a65c901dc;groin groin tard au dépens de;autour de
61ccea31-de51-4de4-bace-9760ec829c0a;rechercher fidèle dès que;vu que
025943ee-da41-48c8-b283-1bb2e3472bc8;clientèle oups;vorace maintenir identifier
4e1d7e12-7b1e-4e0e-8516-18bfb7ece7ae;exprès partenaire snob;tsoin-tsoin turquoise administration
c4384f45-e011-45bb-b0ab-b6da4e6c1718;mince corps enseignant au-dedans de;miam
52153d75-1059-4040-a4f8-aaa64cca7cdb;ébranler balancer;paf obliger
3953d789-9fc6-4f87-9c34-621b17dca716;atchoum glouglou si bien que;plutôt dans
af141174-04fb-42c0-a878-18ef4aa422da;habile ouch;chut
922863af-b47a-48f1-ab07-4fd33ddbbf67;mieux à la merci enlever;menacer alors que
