id;code;libelle
802cc264-d4f0-4507-b27d-0510e20296ea;présidence;lécher
debe05a7-eb20-4b36-831d-a9aa6781f7a1;sauf à pendant que sombre;patientèle plaindre au défaut de
6858ddbf-a421-479f-820e-d3a78b1e55c9;snif affable en bas de;noyer
897350f9-a42e-4dc2-8265-0a6415ef1f7e;obéir vide durer;assurément svelte terne
c205ca5c-7d3e-44a7-8b34-13fe8dfff417;apparemment commis de cuisine après;que
cf7ac06e-85cf-418f-8d52-c865674b0eb2;inspecter équipe;au dépens de camarade à défaut de
5fdf6160-d5ce-42d8-ad65-8be71b09e011;crac;fort efficace
034d0666-3860-48e0-820b-c28238f72c7c;rapprocher parvenir;à force de rester
c279a100-730c-4eba-bbc3-ebc091f8e282;de façon à ce que sus afin de;gens personnel professionnel
7505ec2a-93e0-4363-ac7d-2c17f26e104b;de façon à ce que;tant
8c37aca4-63e0-4115-a39b-3615e2d49b11;hormis sauf à;parlementaire semer dans
75bab415-e697-4dce-ac38-05662f786660;atchoum snif gigantesque;au point que vers
dfbc6825-aac5-48cb-91f8-fac9eb84b1b6;examiner désormais dès que;tâcher conseil d’administration
771fbb05-4ba4-45ed-83fe-aa2f698a84a4;électorat accélérer;délectable quand hystérique
2554e3d0-752c-408b-9005-f5fb290388e0;tandis que de peur que à l'encontre de;incalculable
0a97f73f-bfa0-4394-8dfe-2da5d2b3b0a9;secours;derrière
e72e3615-ded8-4327-b36a-4ebdeade5418;enfin;adversaire
035fa4ad-c7d6-4ef5-bb4d-d8fd1e898e36;puisque approximativement neutre;hypocrite mélancolique
dd591818-4d53-47f8-b9d6-4893632f9b86;recta;plonger mériter
14c4f6ad-d43d-4673-8352-c97bf20ad0f3;badaboum pour que patientèle;vanter
a02bbcaf-b6cd-4dd9-a514-be62abf63b72;aussitôt areu areu conseil d’administration;ennuyer trop
d3b934a2-2ee2-48dd-9042-b9fb5523b649;en outre de;personnel touchant commis de cuisine
829d4011-e25f-454d-a983-9e96f6c6efb5;concernant un peu au-devant;ronron
05f326d0-ef17-425a-bfad-07a99a4acc39;affable;tandis que
9cee01b0-fb39-4824-a381-145e5d2303dc;snob derrière;miaou
7fd991f2-0f22-4cc7-9bb2-fdd49aac4d71;antagoniste patientèle insolite;afin que autour
64cc84ff-644e-4d43-a6d0-9f374e7213e9;tant que;séculaire
b20f1be5-f9fd-41d7-97f3-5267099e3b48;de;tic-tac cocorico absolument
c251fc98-681b-4fd7-bed7-42de92dcd329;grandement;guide ruiner
f169f498-2558-4776-81fc-729b3a46fc2a;effacer passablement;dès que
