id;code;libelle
1e959adf-3910-4aef-8770-125449c7af29;dans la mesure où auprès de sous couleur de;badaboum population du Québec
dc4f7be7-78ee-425e-a7e0-390eee7780c8;a secours;prolonger d'entre sitôt que
2ff2bd07-af97-4c48-91a3-2cba7b277f6d;direction cot cot;miaou étrangler
eee017b1-f5ef-45b1-8b36-c9407116e505;plouf;lâche quelquefois
7241c731-5545-4bd2-a63e-e161017766f5;tsoin-tsoin vaste;efficace
32d10bcc-979e-42fa-93d4-3d0574b85ae3;de façon que rafraîchir;parce que conseil d’administration d'avec
a01593b0-7fa7-4bf8-97b4-6b59cc14cfbf;aigre;tôt âcre
41f4cd1c-2a98-46b9-9cf3-668fde69a60c;d'après peu touriste;premièrement moyennant boum
15ed3cf7-1bdf-487f-9929-82282ba18168;que;assez
e657c42e-14c6-4c66-b4b9-65ee93c4855a;après que assez;tic-tac
e7148109-46ad-4d7b-b02f-6e3ac6ed607c;à l'entour de;doucement
964de2c7-ea4b-4a4f-a6b5-fd964ff1202c;crac hebdomadaire ensemble;personnel
0c31fdd0-0364-4ae5-9e33-13ba7aa83688;proche de de crainte que équipe;accorder
24065d04-01c1-4a21-85ed-9da91c79f1f5;relever mature consacrer;d'entre
5a38ea1a-f214-4cc2-b590-f46e3b5a11cf;demain;quant à
ad439368-e455-4ddb-a936-e94272cc0cdd;tellement d'entre aux alentours de;cocorico lâche diplomate
26623217-f98f-4ac1-acae-4ab1da41e26e;aujourd'hui mettre;après-demain analyser
14b2e199-a4e7-4fd5-b71d-2181de6e33b5;dense prestataire de services commissionnaire;conclure alors que
cf451e7f-c6c3-4fe3-9c31-68123b4eb718;bang;antagoniste
6ee3ecc6-8c30-46d5-8449-a188bb9adc25;hier tant;sédentaire
56e7f184-ef80-4d1d-8e84-729bc67c5483;antique;pschitt
867ab10f-75a9-46a8-ab73-c10afe3c1a76;chez du moment que éviter;au prix de
367b3e91-139c-42ed-a74d-630ead2a21d9;atchoum entre-temps actionnaire;sur claquer peut-être
33806970-6d01-4428-8a71-251b359c9336;au-delà vraisemblablement chez;autour de
7bd0fb2f-02b9-40b7-a969-c7a5759ec7f7;sitôt que;spécialiste passablement
20418b25-9166-47f8-b9f1-87c1afd7aa95;personnel professionnel;contre
938a3857-53fe-48a0-ae2a-a8202da19ef5;blablabla cot cot;d'avec hormis en
18cd51fe-25fd-464a-aae8-63c028c589a1;auprès de splendide;d'après tic-tac
9c371347-7a47-4985-8986-2c20098f6e82;lectorat énergique gens;secouriste propre
6a15f416-03ee-4ef4-99a3-4a2d6c63fe3b;par à même;vouh population du Québec
